time,Ts_ext,Ts_int
30443.2,293.11539143719364,296.43999789535246
30616.2,292.9049201087923,296.4519995963026
30789.2,292.68894672361387,296.46364058587085
30962.2,292.4712505160562,296.47516862828746
31135.1,292.2536801444566,296.4866900070958
31308.1,292.03598393689896,296.4982180495124
31481.1,291.81828772934125,296.509746091929
31654.1,291.6005915217836,296.5212741343457
31680.0,291.568000008629,296.523000008904
31680.0,291.568000008629,296.523000008904
31827.0,291.3808018594831,302.6623012262641
32000.0,291.16049383361747,309.8874652439737
32173.0,290.9399257420979,315.2647873367743
32345.9,290.7187770876774,315.6080371815588
32518.9,290.4975005277309,315.95148555141253
32691.9,290.27622396778435,316.29493392126625
32864.9,290.05494740783786,316.63838229112
33037.8,289.8337987534173,316.9816321359045
33210.8,289.6125221934708,317.3250805057582
33383.8,289.39124563352425,317.6685288756119
33556.8,289.17019193972027,318.0017303443197
33729.7,288.95103499706386,318.2534056083736
33902.7,288.73175130082586,318.5052264335982
34075.7,288.5124676045878,318.7570472588228
34248.6,288.29331066193146,319.0087225228767
34421.6,288.0740269656934,319.2605433481013
34594.6,287.85538892180045,319.5040714374943
34767.6,287.63933348728756,319.71442858356096
34940.5,287.42340294030913,319.92466413590154
35113.5,287.21115911537777,320.1106932141066
35286.5,287.00126908225127,320.2816989260577
35459.5,286.7913790491248,320.4527046380088
35632.4,286.58161033971686,320.62361150272756
35805.4,286.3717203065904,320.7946172146786
35978.4,286.1618302734639,320.9656229266297
36151.4,285.9519402403374,321.13662863858076
36324.3,285.7421715309295,321.3075355032995
36497.3,285.53740339880335,321.4601341203151
36670.3,285.33861070662476,321.59125819294013
36843.2,285.1399329235168,321.7223064713035
37016.2,284.94114023133824,321.85343054392854
37189.2,284.74234753915965,321.98455461655357
37362.2,284.54355484698107,322.11567868917854
37535.1,284.34936633824213,322.2365476236327
37708.1,284.1587402545372,322.34915406748485
37881.1,283.96811417083217,322.461760511337
38054.1,283.7894944739378,322.5562661762195
38227.0,283.61136811343846,322.6501291184756
38400.0,283.4331387301743,322.7440463481478
38573.0,283.2549093469101,322.8379635778199
38745.9,283.07678298641076,322.931826520076
38918.9,282.8985536031466,323.02574374974813
39091.9,282.72032421988234,323.11966097942025
39264.9,282.54209483661816,323.21357820909236
39437.8,282.3791895352808,323.2918404024773
39610.8,282.21972253451565,323.3665272215399
39783.8,282.0602555337506,323.4412140406025
39956.8,281.90078853298553,323.5159008596652
40129.7,281.7414137096776,323.5905445071561
40302.7,281.5819467089125,323.6652313262187
40475.7,281.4337907849594,323.73160300459085
40648.6,281.2869765601151,323.7970129473587
40821.6,281.14558371218675,323.8594768204904
40994.6,281.01598767021113,323.91554791379997
41167.6,280.8863916282355,323.9716190071095
41340.5,280.75687049726685,324.02765768938247
41513.5,280.62727445529123,324.083728782692
41686.5,280.49767841331567,324.1397998760015
41859.5,280.36808237134005,324.1958709693111
42032.4,280.2385612403714,324.25190965158407
42205.4,280.11295100125324,324.3063180845111
42378.4,280.0080282704518,324.3520968130295
42551.4,279.90310553965037,324.397875541548
42724.3,279.7982434578263,324.44362780837366
42897.3,279.69332072702485,324.4894065368921
43070.3,279.5883979962234,324.5351852654105
43243.2,279.48742932242027,324.56408288243546
43380.0,279.4167906468163,324.5469094204633
43380.0,279.4167906468163,324.5469094204633
43416.2,279.3980982487398,324.5423649809648
43589.2,279.3087671750593,324.52064707949415
43762.2,279.2332061476347,324.4806588708577
43935.1,279.16451277434817,324.43163961981924
44108.1,279.095779670944,324.3825920175656
44281.1,279.0270465675399,324.33354441531196
44454.1,278.9583134641358,324.2844968130583
44627.0,278.88962009084923,324.2354775620198
44800.0,278.82088698744514,324.18642995976614
44973.0,278.75215388404104,324.1373823575125
45145.9,278.6977721300181,324.0973990380902
45318.9,278.6570321910865,324.06602548901213
45491.9,278.6162922521549,324.034651939934
45664.9,278.5755523132233,324.00327839085594
45837.8,278.53483592338927,323.9719229767773
46010.8,278.49409598445766,323.94054942769924
46183.8,278.46351935561745,323.91368558192454
46356.8,278.4397182668382,323.8898282050188
46529.7,278.41633565093764,323.8661130920081
46702.7,278.41474029619275,323.8493047453756
46875.7,278.4131449414478,323.8324963987431
47048.6,278.41155050887323,323.81569776791787
47221.6,278.4099551541283,323.79888942128537
47394.6,278.40835979938333,323.78208107465287
47567.6,278.4067644446384,323.76527272802036
47740.5,278.4051700120638,323.7484740971952
47913.5,278.40357465731887,323.7316657505627
48086.5,278.42677537804565,323.7207770676472
48259.5,278.45396102780444,323.7108397223671
48432.4,278.48113096331485,323.7009081212172
48605.4,278.50831661307365,323.6909707759371
48778.4,278.5355022628325,323.681033430657
48951.4,278.5626879125913,323.6710960853769
49124.3,278.60608392602876,323.6638354082072
49297.3,278.65035485564994,323.6567104174528
49470.3,278.7024289091228,323.6507295617147
49643.2,278.76783653340016,323.6467116148332
49816.2,278.8332819874197,323.64269134409574
49989.2,278.8987274414393,323.6386710733583
50162.2,278.96417289545883,323.63465080262085
50335.1,279.0295805197362,323.63063285573935
50508.1,279.09502597375575,323.6266125850019
50681.1,279.16047142777535,323.62259231426447
50854.1,279.2315980528076,323.61915761023323
51027.0,279.32380939086687,323.61790236180934
51200.0,279.41607406110546,323.6166463873887
51373.0,279.50833873134405,323.615390412968
51545.9,279.60055006940337,323.6141351645441
51718.9,279.69281473964196,323.61287919012346
51891.9,279.7897618047799,323.61211623254775
52064.9,279.89763445801634,323.6125036476103
52237.8,280.0054447571179,323.61289083873356
52410.8,280.126420346446,323.61422208844976
52583.8,280.252536479567,323.6159236233705
52756.8,280.37865261268803,323.6176251582913
52929.7,280.50469584631014,323.6193257096658
53102.7,280.63081197943114,323.6210272445865
53275.7,280.75692811255215,323.62272877950727
53448.6,280.8829713461742,323.6244293308818
53621.6,281.0090874792952,323.62613086580257
53794.6,281.14769397340365,323.62873167170346
53967.6,281.29605303190834,323.63203463490413
54140.5,281.4443263337318,323.6353356888775
54313.5,281.59268539223655,323.6386386520781
54486.5,281.74104445074124,323.64194161527877
54659.5,281.88940350924594,323.64524457847943
54832.4,282.04563131541585,323.648998881831
55005.4,282.2062335167314,323.6529994619572
55178.4,282.36779085382756,323.65707713430214
55351.4,282.5423336482322,323.6622029065461
55524.3,282.71677555084824,323.6673257159159
55697.3,282.8913183452529,323.6724514881598
55870.3,283.06586113965756,323.6775772604038
56043.2,283.2403030422736,323.6827000697736
56216.2,283.41484583667824,323.68782584201756
56389.2,283.5893886310829,323.69295161426146
56562.2,283.76393142548756,323.6980773865054
56735.1,283.95271331583183,323.7041520335351
56908.1,284.14299265200157,323.71032234175567
57081.1,284.33327198817136,323.7164926499763
57254.1,284.5235513243411,323.7226629581969
57427.0,284.7137206724553,323.72882969976536
57600.0,284.904000008625,323.735000007986
57773.0,285.102107708052,323.74200157337935
57945.9,285.30010089435797,323.74899909162514
58118.9,285.50153095022205,323.7562434113459
58291.9,285.70758258146697,323.7638254153111
58464.9,285.9136342127118,323.7714074192763
58637.8,286.11956673896754,323.7789850405802
58810.8,286.32561837021245,323.7865670445454
58983.8,286.5316700014573,323.79414904851063
59156.8,286.7377216327022,323.8017310524758
59329.7,286.94365415895794,323.80930867377975
59502.7,287.15165496211847,323.81713308744054
59675.7,287.36515917770373,323.82564193561427
59848.6,287.5785399804476,323.8341458653786
60021.6,287.7920441960328,323.84265471355235
60194.6,288.00554841161807,323.851163561726
60367.6,288.21905262720327,323.85967240989976
60540.5,288.43343159042865,323.8684364231186
60713.5,288.6497900500354,323.8776889810052
60886.5,288.86614850964213,323.8869415388918
61059.5,289.08344176166156,323.89660316657256
61232.4,289.30089081788554,323.906382354701
61405.4,289.51846563990256,323.9161671988087
61578.4,289.73604046191963,323.9259520429164
61751.4,289.9536152839367,323.93573688702406
61924.3,290.1710643401606,323.9455160751525
62097.3,290.3886391621777,323.9553009192602
62270.3,290.60621398419477,323.9650857633679
62443.2,290.82288909896283,323.97544211603264
62616.2,291.03919776751917,323.98617119031366
62789.2,291.2555064360755,323.9969002645947
62962.2,291.4718151046319,324.0076293388757
63135.1,291.68799873927577,324.0183522113797
63308.1,291.9043074078321,324.0290812856607
63481.1,292.1187904730924,324.04000152678293
63654.1,292.33249113694006,324.05100369655133
63827.0,292.5454032306965,324.06208753872056
64000.0,292.7534786903642,324.0738343184786
64173.0,292.961554150032,324.0855810982366
64345.9,293.16950933486754,324.09732108794856
64518.9,293.37758479453527,324.1090678677066
64691.9,293.58566025420305,324.1208146474646
64864.9,293.7937357138708,324.1325614272227
